Iteration,PolicyLoss,ValueLoss,TotalLoss,BestWinner,AvgMoves
0,4.022694055850689,0.5087218462274625,4.531415902078152,0,64.0
1,3.7871737021666307,0.13760112011088774,3.9247748222775183,0,64.0
2,3.5558732060285716,0.14613801670762208,3.7020112227361937,0,64.0
3,3.359120235993312,0.12431201926217629,3.4834322552554884,0,64.0
4,3.099146448648893,0.12712900548313671,3.2262754541320295,0,64.0
5,2.750066482103788,0.10003093314858583,2.8500974152523737,0,64.0
6,2.491991992180164,0.09306204204375927,2.585054034223923,0,64.0
7,2.1926622849244337,0.06283250556757244,2.255494790492006,0,64.0
8,1.9791783277805035,0.034782767873436496,2.01396109565394,0,64.0
9,1.7496868051015413,0.031674306726647325,1.7813611118281887,0,64.0
10,1.6212966763056242,0.011811091624902193,1.6331077679305264,0,64.0
11,1.4824571013450623,0.004652925705578617,1.4871100270506408,0,64.0
12,1.2895548721918693,0.006842170541613786,1.296397042733483,0,64.0
